"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2024","4,973.07","4,955.87","4,973.39","4,924.18","14.22M","0.30%"
"30/08/2024","4,957.98","4,959.03","4,980.86","4,957.96","34.04M","-0.17%"
"29/08/2024","4,966.27","4,915.49","4,966.27","4,913.49","19.54M","1.08%"
"28/08/2024","4,913.03","4,904.76","4,932.76","4,904.76","15.95M","0.29%"
"27/08/2024","4,898.78","4,897.27","4,916.68","4,892.51","16.78M","0.04%"
"26/08/2024","4,896.69","4,907.04","4,911.02","4,892.19","10.42M","-0.25%"
"23/08/2024","4,909.20","4,890.34","4,918.85","4,887.70","16.24M","0.50%"
"22/08/2024","4,885.00","4,885.74","4,911.43","4,883.98","14.71M","-0.01%"
"21/08/2024","4,885.28","4,856.23","4,889.72","4,856.23","13.75M","0.57%"
"20/08/2024","4,857.58","4,878.22","4,897.43","4,855.90","15.90M","-0.28%"
"19/08/2024","4,871.41","4,838.02","4,879.30","4,835.58","15.85M","0.64%"
"16/08/2024","4,840.52","4,813.72","4,850.74","4,813.72","22.74M","0.68%"
"15/08/2024","4,807.77","4,736.84","4,809.88","4,727.63","17.52M","1.70%"
"14/08/2024","4,727.60","4,710.18","4,728.68","4,706.76","14.41M","0.70%"
"13/08/2024","4,694.92","4,680.21","4,697.96","4,659.23","18.61M","0.49%"
"12/08/2024","4,671.88","4,686.85","4,699.91","4,658.86","15.14M","-0.07%"
"09/08/2024","4,675.28","4,678.44","4,703.22","4,646.71","17.63M","0.14%"
"08/08/2024","4,668.74","4,661.82","4,673.66","4,606.70","24.94M","0.01%"
"07/08/2024","4,668.06","4,592.87","4,683.72","4,591.59","33.11M","2.03%"
"06/08/2024","4,575.22","4,580.12","4,607.82","4,538.20","32.68M","0.08%"
"05/08/2024","4,571.60","4,605.72","4,605.72","4,473.94","46.73M","-1.45%"
"02/08/2024","4,638.70","4,752.10","4,752.10","4,627.27","43.38M","-2.67%"
"01/08/2024","4,765.72","4,867.09","4,867.09","4,759.68","34.23M","-2.20%"
"31/07/2024","4,872.94","4,852.18","4,907.39","4,852.18","30.03M","0.66%"
"30/07/2024","4,841.00","4,830.52","4,861.85","4,829.92","27.56M","0.53%"
"29/07/2024","4,815.39","4,873.84","4,886.60","4,810.81","20.13M","-0.97%"
"26/07/2024","4,862.50","4,810.87","4,867.88","4,810.20","20.42M","1.06%"
"25/07/2024","4,811.28","4,832.68","4,832.68","4,767.15","27.18M","-1.04%"
"24/07/2024","4,861.87","4,892.66","4,892.66","4,847.39","25.42M","-1.12%"
"23/07/2024","4,916.80","4,906.89","4,949.27","4,896.33","20.67M","0.40%"
"22/07/2024","4,897.44","4,833.17","4,911.43","4,833.17","23.10M","1.45%"
"19/07/2024","4,827.24","4,868.97","4,868.97","4,822.55","26.88M","-0.88%"
"18/07/2024","4,870.12","4,902.41","4,923.86","4,870.12","24.39M","-0.44%"
"17/07/2024","4,891.46","4,939.44","4,939.44","4,877.15","19.30M","-1.14%"
"16/07/2024","4,947.83","4,968.21","4,968.21","4,939.17","19.24M","-0.71%"
"15/07/2024","4,983.11","5,029.28","5,038.30","4,982.42","16.54M","-1.19%"
